1 d= 15462 c= 63023 p= 81920 b= 68608 ch= 8899584 tc=  1.31 tb=  5.20 s= 0 / 15000
2 d= 21843 c= 90587 p= 114688 b= 96256 ch= 15315968 tc=  2.23 tb=  8.97 s= 0 / 15000
3 d= 28104 c= 115678 p= 81920 b= 66560 ch= 9208832 tc=  1.50 tb=  5.14 s= 31 / 15000
4 d= 26557 c= 110938 p= 81920 b= 66560 ch= 9778176 tc=  1.71 tb=  5.24 s= 130 / 15000
5 d= 28088 c= 115586 p= 163840 b= 150528 ch= 26961920 tc=  3.69 tb= 14.89 s= 0 / 15000
6 d= 24362 c= 100934 p= 114688 b= 101376 ch= 16794624 tc=  2.29 tb=  9.07 s= 0 / 15000
7 d= 28104 c= 115678 p= 131072 b= 108544 ch= 18045952 tc=  2.61 tb=  9.64 s= 0 / 15000
8 d= 23858 c= 98311 p= 114688 b= 103424 ch= 16656384 tc=  2.40 tb=  8.61 s= 0 / 15000
9 d= 13959 c= 56769 p= 65536 b= 54272 ch= 7022592 tc=  0.82 tb=  3.35 s= 0 / 15000
10 d= 11425 c= 46339 p= 49152 b= 44032 ch= 5053440 tc=  0.62 tb=  2.50 s= 0 / 15000
11 d= 11505 c= 46650 p= 49152 b= 44032 ch= 4999168 tc=  0.63 tb=  2.45 s= 0 / 15000
12 d= 18418 c= 75142 p= 81920 b= 76800 ch= 10328064 tc=  1.44 tb=  5.58 s= 0 / 15000
13 d= 11425 c= 46339 p= 49152 b= 44032 ch= 5056512 tc=  0.64 tb=  2.48 s= 0 / 15000
14 d= 18748 c= 76682 p= 98304 b= 78848 ch= 10445824 tc=  1.49 tb=  5.36 s= 0 / 15000
15 d= 7737 c= 30902 p= 32768 b= 22528 ch= 1887232 tc=  0.51 tb=  1.29 s= 0 / 15000
16 d= 7960 c= 32040 p= 32768 b= 22528 ch= 1970176 tc=  0.55 tb=  1.43 s= 0 / 15000
17 d= 18084 c= 74043 p= 81920 b= 72704 ch= 10044416 tc=  1.34 tb=  4.80 s= 0 / 15000
