20 w= 10 d= 90 c= 211 l= 24 p= 16382 b= 1024 ch= 1024 tc=  0.0000 tb=  0.0040 dp= 0 cp= 0 mlc= 0 mld= 0 mn= 119 ex= 3838 xn= 20 wv= 0 bu= 72 cu= 79 pu= 182 vs= 0 s= 0 / 1000
21 w= 31 d= 711 c= 2299 l= 63264 p= 16382 b= 1024 ch= 1024 tc=  0.0000 tb=  0.0120 dp= 0 cp= 0 mlc= 517 mld= 689 mn= 1140 ex= 25229 xn= 95 wv= 1517 bu= 214 cu= 381 pu= 2088 vs= 15990 s= 0 / 1000
22 w= 10 d= 27 c= 57 l= 3 p= 16382 b= 1024 ch= 1024 tc=  0.0000 tb=  0.0000 dp= 0 cp= 0 mlc= 0 mld= 0 mn= 40 ex= 7225 xn= 31 wv= 0 bu= 24 cu= 15 pu= 50 vs= 0 s= 0 / 1000
23 w= 48 d= 2446 c= 10273 l= 1010688 p= 16382 b= 1024 ch= 1024 tc=  0.0063 tb=  0.0290 dp= 0 cp= 0 mlc= 1685 mld= 2070 mn= 4441 ex= 42463 xn= 140 wv= 8478 bu= 338 cu= 471 pu= 12398 vs= 31744 s= 1006 / 1000
24 w= 10 d= 43 c= 97 l= 9 p= 16382 b= 1024 ch= 1024 tc=  0.0000 tb=  0.0000 dp= 0 cp= 0 mlc= 0 mld= 0 mn= 59 ex= 3092 xn= 21 wv= 0 bu= 36 cu= 33 pu= 86 vs= 0 s= 0 / 1000
25 w= 22 d= 382 c= 1242 l= 14880 p= 16382 b= 1024 ch= 1024 tc=  0.0000 tb=  0.0083 dp= 0 cp= 0 mlc= 431 mld= 553 mn= 632 ex= 22305 xn= 63 wv= 660 bu= 160 cu= 272 pu= 1032 vs= 9075 s= 0 / 1000
26 w= 22 d= 260 c= 674 l= 1620 p= 16382 b= 1024 ch= 1024 tc=  0.0000 tb=  0.0076 dp= 0 cp= 0 mlc= 242 mld= 332 mn= 383 ex= 21174 xn= 39 wv= 371 bu= 97 cu= 141 pu= 636 vs= 8393 s= 0 / 1000
27 w= 25 d= 280 c= 877 l= 1064 p= 16382 b= 1024 ch= 1024 tc=  0.0040 tb=  0.0040 dp= 0 cp= 0 mlc= 220 mld= 302 mn= 427 ex= 8709 xn= 83 wv= 753 bu= 103 cu= 114 pu= 773 vs= 10356 s= 514 / 1000
28 w= 8 d= 13 c= 25 l= 1 p= 16382 b= 1024 ch= 1024 tc=  0.0000 tb=  0.0000 dp= 0 cp= 0 mlc= 0 mld= 0 mn= 16 ex= 1615 xn= 18 wv= 0 bu= 17 cu= 8 pu= 28 vs= 0 s= 0 / 1000
29 w= 29 d= 1661 c= 6464 l= 36660 p= 16382 b= 1024 ch= 1024 tc=  0.0040 tb=  0.0119 dp= 0 cp= 0 mlc= 1377 mld= 1678 mn= 2852 ex= 25585 xn= 84 wv= 4418 bu= 385 cu= 672 pu= 7814 vs= 25536 s= 0 / 1000
30 w= 23 d= 167 c= 468 l= 380 p= 16382 b= 1024 ch= 1024 tc=  0.0000 tb=  0.0040 dp= 0 cp= 0 mlc= 193 mld= 294 mn= 266 ex= 21171 xn= 51 wv= 349 bu= 192 cu= 243 pu= 623 vs= 7612 s= 0 / 1000
